"Province Name","District Name","DS Division Name","GN Division Name","AS Center","ASC Name","Officer Incharge","Contact Email","Contact Number","Services Available"
,,Medawachchiya,Poonewa,,"Pinchikuda Wewa",,,,
,,Medawachchiya,Prabodhagama,,"Dachchidamana Wewa/Probodagama Wewa",,,,
,,Medawachchiya,"Maha Kumbukgollewa",,"Mahakumbukgollewa Wewa",,,,
,,Medawachchiya,Kidawarankulama,,"Maha Puliyankulama Wewa",,,,
,,Medawachchiya,Poonewa,,"Kuda      Palugollewa Wewa",,,,
,,Medawachchiya,Prabodhagama,,"Pahalagama Wewa",,,,
,,Medawachchiya,"Kadawath Rambewa",,"Galkande Wewa",,,,
,,Medawachchiya,Poonewa,,"Bulupetha Wewa",,,,
,,Rambewa,"89, -Kallanachiya",Kallanchiya,Kallanchiya,,,,
,,Na.Nu.Pa,"275,
Kawarakkulama",Anuradhapura,Kawarakkulama,,,,
,,Rambewa,"98, -Kapiriggama",Kallanchiya,Kapirikgama,,,,
,,Thirappane,"555, -Labunoruwa",Thirappane,Labunoruwa,,,,
,,Rambewa,"81,
Pihimbiyagollewa",Kallanchiya,Pihimbiyagollewa,,,,
,,Galenbidunuwewa,"184 - Manankattiya",Galenbidunuwewa,Manankattiya,,,,
,,Palugaswewa,"603 - Horiwila",Palugaswewa,Horiwila,,,,
,,Medawachchiya,"68-
Madawachchiya East",Medawachchiya,Medawachchiya,,,,
,,Medawachchiya,"78-
Sangilikanadarawa",Medawachchiya,Sangilikanadarawa,,,,
,,Medawachchiya,"42-
kidawarankulama",Punewa,Kidawarankulama,,,,
,,Medawachchiya,"62 - Puleliya",Medawachchiya,"Puleliya maha wewa",,,,
,,Mihintale,"569 - Katukeliyawa",Mihinthale,"Kuda galenbidunu wewa",,,,
,,Mihintale,"566-
Seeppukulama",Mihinthale,"Ambagaha wela wewa",,,,
,,N.P.C.,"305-
Galpottegama",Gambirigaswewa,"Galpothte gama wewa",,,,
,,Medawachchiya,"43 - Prabodagama",Punewa,"Kanugaha wewa",,,,
,,Medawachchiya,"73 - Kidagalegama",Athakada,"Moragassegama wewa",,,,
,,Mahavilachchiya,369-Sadamaleliya,Thantimale,"Nika wewa",,,,
,,N.P.C.,305-Galpottegama,Gambirigaswewa,"Pahala
Moragollagama wewa",,,,
Northern,"Vavuniya District",Vengalacheddikulam,Periyapuliyalankulam,Cheddikulam,Nedunkaraichchenai,,,,
"North Central","Anurdhapura District",Medawachchiya,Lindawewa,Medawachchiya,"Duminnegama Wewa",,,,
,,Medawachchiya,Lindawewa,,"Randenigama Wewa",,,,
,,Medawachchiya,Karambankulama,,"Karambankulama Wewa",,,,
,,Medawachchiya,Karambankulama,,"Kuda Wewa",,,,
,,Medawachchiya,Lindawewa,,"Linda   Wewa   Maha Wewa",,,,
,,Medawachchiya,Prabodhagama,Poonewa,"Nawakkulama Wewa",,,,
,,Ma.Nu.Pa,"Maha Ehetuwewa",Elayapaththuwa,"Kuda Halmilla Wewa",,,,
,,Medawachchiya,Lindawewa,Medawachchiya,"Kuda Wewa",,,,
,,Medawachchiya,Kidawarankulama,Poonewa,"Siyabalagas Wewa",,,,
,,Medawachchiya,Poonewa,,"Poonewa          Maha Wewa",,,,
,,Medawachchiya,Kidawarankulama,,"Kuda  Puliyankulama Wewa",,,,
,,Medawachchiya,Poonewa,,"Pinchikuda Wewa",,,,
,,Medawachchiya,Prabodhagama,,"Dachchidamana Wewa/Probodagama Wewa",,,,
,,Medawachchiya,"Maha Kumbukgollewa",,"Mahakumbukgollewa Wewa",,,,
,,Medawachchiya,Kidawarankulama,,"Maha Puliyankulama Wewa",,,,
,,Medawachchiya,Poonewa,,"Kuda      Palugollewa Wewa",,,,
,,Medawachchiya,Prabodhagama,,"Pahalagama Wewa",,,,
,,Medawachchiya,"Kadawath Rambewa",,"Galkande Wewa",,,,
,,Medawachchiya,Poonewa,,"Bulupetha Wewa",,,,
,,Rambewa,"89, -Kallanachiya",Kallanchiya,Kallanchiya,,,,
,,Na.Nu.Pa,"275,
Kawarakkulama",Anuradhapura,Kawarakkulama,,,,
,,Rambewa,"98, -Kapiriggama",Kallanchiya,Kapirikgama,,,,
,,Thirappane,"555, -Labunoruwa",Thirappane,Labunoruwa,,,,
,,Rambewa,"81,
Pihimbiyagollewa",Kallanchiya,Pihimbiyagollewa,,,,
,,Galenbidunuwewa,"184 - Manankattiya",Galenbidunuwewa,Manankattiya,,,,
,,Palugaswewa,"603 - Horiwila",Palugaswewa,Horiwila,,,,
,,Medawachchiya,"68-
Madawachchiya East",Medawachchiya,Medawachchiya,,,,
,,Medawachchiya,"78-
Sangilikanadarawa",Medawachchiya,Sangilikanadarawa,,,,
,,Medawachchiya,"42-
kidawarankulama",Punewa,Kidawarankulama,,,,
,,Medawachchiya,"62 - Puleliya",Medawachchiya,"Puleliya maha wewa",,,,
,,Mihintale,"569 - Katukeliyawa",Mihinthale,"Kuda galenbidunu wewa",,,,
,,Mihintale,"566-
Seeppukulama",Mihinthale,"Ambagaha wela wewa",,,,
,,N.P.C.,"305-
Galpottegama",Gambirigaswewa,"Galpothte gama wewa",,,,
,,Medawachchiya,"43 - Prabodagama",Punewa,"Kanugaha wewa",,,,
,,Medawachchiya,"73 - Kidagalegama",Athakada,"Moragassegama wewa",,,,
,,Mahavilachchiya,369-Sadamaleliya,Thantimale,"Nika wewa",,,,
,,N.P.C.,305-Galpottegama,Gambirigaswewa,"Pahala
Moragollagama wewa",,,,
Northern,"Vavuniya District",Vengalacheddikulam,Periyapuliyalankulam,Cheddikulam,Nedunkaraichchenai,,,,
,,Vengalacheddikulam,Kanthasaminager,Kurukkalputhukulam,Niththikkulam,,,,
,,Vengalacheddikulam,"Unit-9,10",Cheddikulam,Koolankulam,,,,
,,Vengalacheddikulam,Sinnasippikulam,,"Sinna Chippikulam",,,,
,,Vengalacheddikulam,kankankulam,,Kankankulam,,,,
,,Vengalacheddikulam,Kiristhavakulam,,Kiristhavakulam,,,,
,,Vengalacheddikulam,Neriyakulam,,Kunuvaikulam,,,,
,,Vengalacheddikulam,Sooduventhapulavu,Kurukkalputhukulam,Karunkalikkulam,,,,
,,Vengalacheddikulam,"Unit-9,10",Cheddikulam,"Navatkuda Anicut",,,,
,,Vengalacheddikulam,Cheddikulam,,Musalkuththikkulam,,,,
,,Vengalacheddikulam,Muthaliyarkulam,,Karampaimadu,,,,
,,Vengalacheddikulam,Kannadi,Kurukkalputhukulam,Kollankulam,,,,
,,Vengalacheddikulam,Periyakaddu,Cheddikulam,Kalliyamurippukulam,,,,
,,Vengalacheddikulam,Cheddikulam,,olumadukkulam,,,,
,,Vengalacheddikulam,"Unit-9,10",,Kurinchakulam,,,,
,,Vengalacheddikulam,Cheddikulam,,Cheddikulam,,,,
,,Vengalacheddikulam,Periyapuliyalankulam,,Mayilmuddiyiddakulam,,,,
,,Vengalacheddikulam,Periyapuliyalankulam,,Periyapuliyalankulam,,,,
,,Vavuniya,Asikulam,Kovilkulam,Illuppaikulam,,,,
,,Vavuniya,Asikulam,,Periyakomarasankulam,,,,
,,Vavuniya,Asikulam,,Periyakalveerankulam,,,,
,,Vavuniya,Asikulam,,Asikulam,,,,
,,Vavuniya,Asikulam,,Sinnakalveerankulam,,,,
,,Vavuniya,Asikulam,,Kalnaddinakulam,,,,
,,Vavuniya,Asikulam,,Pirappankulam,,,,
,,Vavuniya,Asikulam,,Nochchikulam,,,,
,,"Vavuniya South",Kalukunnammaduwa,Madukanda,Kalukunnammaduwa,,,,
,,Vavuniya,Asikulam,Kovilkulam,Tharanikulam,,,,
,,Vavuniya,Asikulam,Kovilkulam,Sinnakomarasankulam,,,,
,,"Vavuniya South",Allagalla,Madukanda,"Aluthgama Wewa",,,,
,,Vengalacheddikulam,Andiyapuliankulam,Cheddikulam,Udaiyarkulam,,,,
Northern,Mannar,Musali,Veppankulam,potkerni,Vannakulam,,,,
,,Musali,"S.P Potkerni",,"S.P. Potkerni",,,,
,,Musali,Veppankulam,,Karunkalaithalvu,,,,
,,Musali,Puthuveli,Silawathurai,Sadayappan,,,,
,,Musali,Maruthamadu,potkerni,Palayadikulam,,,,
,,Musali,Poonochchi,,Manalkulam,,,,
,,Musali,"P.P Potkerni",,"p.p. potkerni",,,,
,,Musali,Kondachchi,Silawathurai,Kondachchi,,,,
,,Nanattan,Sirukkandal,Murunkan,Kalnaddi,,,,
,,"Manthai West",Minnukkan,Manthai,Mullikandal,,,,
,,Nanattan,Ilahadipiddy,Nanattan,Kathankulam,,,,
,,Nanattan,Vanchiyankulam,Uyilankulam,Puthukamam,,,,
,,Musali,Poonochchi,potkerni,Illanthaimoddai,,,,
,,Musali,Pandaraveli,potkerni,Illathaikulam,,,,
,,Nanattan,Isamalaithalvu,Murunkan,"Periya thethakkuli",,,,
,,Nanattan,Valkkaipettankandal,Nanattan,Purandiveli,,,,
,,Musali,"Arippu west",potkerni,Antonymelinchi,,,,
,,Musali,Koolankulam,Silawathurai,Koolankulam,,,,
,,Nanattan,Parikarikandal,Murunkan,Pethankulam,,,,
,,Musali,Akathimurippu,Potkerni,Thandikulam,,,,
,,Musali,Pandaraveli,potkerni,Pandaraveli,,,,
,,Nanattan,Isamalaithalvu,Murunkan,Vempadikulam,,,,
,,"Mannar Town",Puthukkamam,Uyilankulam,Thuvarankerni,,,,
,,Nanattan,Razoolputhuveli,Nanattan,Kanakanveli,,,,
,,"Mannar Town",Periyanavatkulam,Manthai,Nagathalvu,,,,
,,Musali,Maruthamadu,P.P.Potkeny,Maruthamadukulam,,,,
,,Nanattan,Ilanthaimoddai,Nanattan,Vannakulam,,,,
,,Musali,Veppankulam,P.P.Potkeny,"Periya Koomankulam",,,,
,,"Manthai west",Pappamoddai,Manthai,Kilavanarkaddu,,,,
,,"Manthai West",Pappamoddai,Manthai,Kandal,,,,
"North Western",Kurunagala,Giribawa,Sangappalaya,Thambuththa,"Andiyakotuwa wewa",,,,
,,Giribawa,Sangappalaya,,"Gallewa wewa",,,,
,,Giribawa,Sangappalaya,,"Kumbukwewa (sangappale)",,,,
,,Giribawa,WannikudaWewa,,"Horrow                 wewa (Sangappale)",,,,
,,Giribawa,Sangappalaya,,"Perumbadayagama wewa",,,,
,,Giribawa,WannikudaWewa,,"Achiriya-Weliagara wewa",,,,
,,Giribawa,Gampola,,"Aththikulama wewa",,,,
,,Giribawa,Gampola,,"Amunukole wewa",,,,
,,Giribawa,Aliyawetunawewa,,"Nochchiyagama wewa",,,,
,,Giribawa,Gampola,,"Kumbuk               wewa (Gampola)",,,,
,,Giribawa,Aliyawetunawewa,,"Diullegama wewa",,,,
,,Polpithigama,Niyandawanaya,Rambe,"Pothuwepitiya    pahala wewa",,,,
,,Polpithigama,Niyandawanaya,Rambe,"Meegahamula wewa",,,,
,,Galgamuwa,Nahettikulama,"Maha Nanneriya","Demeda Diul wewa",,,,
,,Ehetuwewa,Thimbiriyawa,Ehatuwewa,"Bedigama Kuda Wewa",,,,
,,Ehetuwewa,Hunugallewa,,"Mahameruwa Wewa",,,,
,,Ehetuwewa,Thimbiriyawa,,"Bedigama Maha Wewa",,,,
,,Kobeigane,Mawathagama,Kobeigane,"Maha Wewa",,,,
,,Ehetuwewa,Ethinimole,Ehatuwewa,"Angamale Wewa",,,,
,,Ehetuwewa,Ethinimole,,"Hinguru Wewa",,,,
,,Ehetuwewa,Ethinimole,,"Badalgama Wewa",,,,
,,Ehetuwewa,Ethinimole,,"Kudagale Wewa",,,,
,,Ehetuwewa,Galapitadigana,,"Galapita Digana Wewa",,,,
,,Galgamuwa,Madadombe,Galgamuwa,"Kapugama Wewa",,,,
,,Ehetuwewa,Ethinimole,Ehatuwewa,"Etinimole Wewa",,,,
,,Galgamuwa,Madadombe,Galgamuwa,"Iahala Gama Wewa",,,,
,,Polpithigama,Galgiriyawa,Moragollagama,"Wathwathte         Gama Wewa",,,,
,,Polpithigama,Galgiriyawa,,"Galgiriyawa Wewa",,,,
,,Polpithigama,Galgiriyawa,,"Wambotu Wewa",,,,
,,Polpithigama,Kambuwatawana,,"Polgaha Wewa",,,,
,,Polpithigama,"Ihala Thimbiriyawa",,"Dematagama Wewa",,,,
,,Polpithigama,Kambuwatawana,,"Bora Wewa",,,,
,,Polpithigama,nikawewa,,"Thibbatuwawa Wewa",,,,
,,Polpithigama,"Ihala Thimbiriyawa",,"Witharanagama Wewa",,,,
,,Polpithigama,Moragollagama,,"Mapegamuwa Wewa",,,,
,,Polpithigama,Moragollagama,,"Moragolla Gama Wewa",,,,
,,Polpithigama,Kubukkadawala,,"Pansale Wewa",,,,
,,Polpithigama,Nikawewa,,"Nika Wewa",,,,
,,Polpithigama,Nikawewa,,"Paththinigama Wewa",,,,
,,Polpithigama,Serugasyaya,,"Pahala          Alawththa Wewa",,,,
,,Ehetuwewa,"Ihala Embogama",Ehatuwewa,"Galketiyagama Wewa",,,,
,,Ehetuwewa,Kaduruwewa,,"Wewgonna Wewa",,,,
,,Ehetuwewa,Thimbiriyawa,,"Rathmal Gaha Wewa",,,,
,,Ehetuwewa,Hunugallewa,,"Kon Wewa",,,,
,,Ehetuwewa,Eriyawa,,"Ikiriwathtthe Gama Wewa",,,,
,,Ehetuwewa,Ratnadivulwewa,,"Diul Wewa",,,,
,,Ehetuwewa,Hiddewa,,"Lokurugama Wewa",,,,
,,Ambanpola,Bakmeewewa,Ambanpola,"Bakmeewewa mahawewa",,,,
"North Central","Matale District",Yatawatta,"Udagama West",Yatawatta,"Theppukulama Tank",,,,
,,Yatawatta,Aluthwatta,,"Bakmeegolla Anicut",,,,
,,Yatawatta,Mathalapitiya,Walawela,"Mathalapitiya Tank",,,,
,,Yatawatta,"Mathalapitiya South",,"Paragahamadiththa Anicut",,,,
,,Yatawatta,Raththinda,,"Ange Anicut",,,,
"North Western","Puttalam District",Wanathavilluwa,Mailankulama,Wanathawilluwa,"Monara Wewa",,,,
,,Pallama,Wathupola,Serukele,"Wathupola Wewa",,,,
,,Pallama,Wathupola,Serukele,"Thoravatawana Wewa",,,,
,,Anamaduwa,Alankulama,Anamaduwa,"Siyabalawatta Maha Wewa",,,,
,,Nawagaththegama,Mahameddewa,Nawagaththegama,"Pahala      wagayamaduwa Wewa",,,,
,,Nawagaththegama,Mahameddewa,,"wagayamaduwa          ihala amuna Wewa",,,,
,,Anamaduwa,"Kottukachchiya Colony 1",Anamaduwa,Nawadalle,,,,
,,Nawagaththegama,Mahameddewa,Nawagaththegama,"Ginigalwembu Wewa",,,,
,,Anamaduwa,Alankulama,Anamaduwa,"Mahakuuratiheena Wewa",,,,
,,Anamaduwa,Alankulama,,"Ilapaththagaha Wewa",,,,
,,Anamaduwa,Alankulama,,"Mahathammannawa Wewa",,,,
,,Anamaduwa,Alankulama,,"Mirisyaaya Wewa",,,,
,,Anamaduwa,Alankulama,,"Madagama Ihala Wewa",,,,
,,Anamaduwa,Alankulama,,"Ihala Paththinigama Wewa",,,,
,,Anamaduwa,Alankulama,,"Kudathammannawa Wewa",,,,
,,Nawagaththegama,Rambakanayagama,Nawagaththegama,"Weeragas Wewa",,,,
,,Nawagaththegama,Miyellewa,,"Pahala boogaha Wewa",,,,
,,Nawagaththegama,Miyellewa,,"Kotuwallewa Wewa",,,,
,,Nawagaththegama,Miyellewa,,"Govi palliya Wewa",,,,
,,Nawagaththegama,Amunuwewa,,"Amunu Wewa",,,,
,,Nawagaththegama,Amunuwewa,,"Weera Wewa",,,,
,,Nawagaththegama,Amunuwewa,,"Damuna Amuna",,,,
